TIPO_REG,U_DPTO,U_MPIO,UA_CLASE,COD_ENCUESTAS,U_VIVIENDA,F_NROHOG,FA1_NRO_FALL,FA2_SEXO_FALL,FA3_EDAD_FALL,FA4_CERT_DEFUN
3,13,001,1,2287400,1,1,1,1,68,1
3,13,001,1,2288095,1,1,1,2,80,1
3,13,001,1,2394842,1,1,1,1,50,9
3,13,001,1,2419481,1,1,1,2,82,9
3,13,001,1,2419496,2,1,1,2,55,1
3,13,001,1,2419574,1,1,1,1,55,1
3,13,001,1,2419597,1,1,1,2,80,1
3,13,001,1,2419607,3,1,1,2,84,1
3,13,001,1,2419641,11,1,1,1,55,1
3,13,001,1,2518761,1,1,1,1,44,1
3,13,001,1,2521225,2,1,1,1,62,1
3,13,001,1,2521475,1,1,1,2,0,9
3,13,001,1,2521578,2,1,1,1,0,9
3,13,001,1,2521696,2,1,1,1,5,1
3,13,001,1,2522015,1,1,1,1,38,1
3,13,001,1,2545834,2,1,1,2,82,1
3,13,001,1,2564474,1,1,1,2,37,9
3,13,001,1,2581275,1,1,1,1,66,9
3,13,001,1,2595511,1,1,1,1,81,1
3,13,001,1,2597399,1,1,1,1,65,1
3,13,001,1,2597399,1,1,2,2,30,1
3,13,001,1,2600667,1,1,1,1,45,1
3,13,001,1,2600908,3,1,1,2,84,1
3,13,001,1,2600908,3,1,2,1,51,1
3,13,001,1,2602444,4,1,1,2,89,9
3,13,001,1,2602461,2,1,1,1,61,9
3,13,001,1,2602713,1,1,1,2,74,1
3,13,001,1,2603431,5,1,1,1,50,1
3,13,001,1,2698511,1,1,1,1,0,9
3,13,001,1,2698541,1,1,1,1,36,2
3,13,001,1,2736400,1,1,1,1,26,1
3,13,001,1,2740235,1,1,1,1,87,1
3,13,001,1,2740391,3,1,1,2,87,1
3,13,001,1,2743012,1,1,1,1,80,1
3,13,001,1,2746963,25,1,1,1,70,1
3,13,001,1,2761370,1,2,1,2,90,1
3,13,001,1,2775482,1,1,1,1,62,1
3,13,001,1,2776487,4,1,1,1,70,1
3,13,001,1,2788195,2,1,1,1,87,1
3,13,001,1,2792553,2,1,1,2,65,1
3,13,001,1,2793813,7,1,1,1,70,9
3,13,001,1,2798987,2,1,1,2,48,1
3,13,001,1,2802954,4,2,1,1,0,9
3,13,001,1,2802954,4,2,2,1,0,9
3,13,001,1,2802998,3,1,1,1,0,9
3,13,001,1,2803024,1,5,1,2,0,9
3,13,001,1,2803024,1,5,2,2,0,9
3,13,001,1,2823804,1,1,1,1,83,1
3,13,001,1,2907619,1,1,1,2,0,9
3,13,001,1,2921827,1,1,1,1,0,9
3,13,001,1,2922577,1,1,1,1,80,1
3,13,001,1,2923955,1,1,1,1,67,2
3,13,001,1,2924038,1,1,1,1,74,9
3,13,001,1,2942878,1,1,1,1,77,9
3,13,001,1,2957130,1,1,1,1,84,2
3,13,001,1,2957173,1,1,1,2,74,2
3,13,001,1,2961963,2,1,1,1,25,1
3,13,001,1,2985104,1,1,1,1,80,9
3,13,001,1,2985892,1,1,1,1,81,1
3,13,001,1,2987483,1,1,1,2,70,1
3,13,001,1,2988244,1,1,1,1,63,1
3,13,001,1,2990244,1,1,1,2,64,1
3,13,001,1,3113583,1,1,1,1,64,1
3,13,001,1,3113603,4,1,1,2,82,1
3,13,001,1,3113686,1,1,1,2,82,1
3,13,001,1,3114764,1,1,1,2,87,1
3,13,001,1,3114797,1,1,1,2,88,1
3,13,001,1,3119577,1,1,1,2,79,9
3,13,001,1,3131491,3,1,1,1,6,2
3,13,001,1,3131505,2,1,1,1,2,2
3,13,001,1,3131575,3,1,1,1,8,2
3,13,001,1,3137416,1,1,1,2,91,1
3,13,001,1,3139166,2,1,1,1,86,1
3,13,001,1,3150054,2,1,1,1,53,2
3,13,001,1,3187416,1,1,1,1,80,2
3,13,001,1,3187842,1,1,1,1,12,1
3,13,001,1,3189119,1,1,1,1,88,1
3,13,001,1,3190709,6,1,1,1,85,1
3,13,001,1,3204205,1,1,1,1,59,1
3,13,001,1,3204318,1,2,1,1,66,1
3,13,001,1,3206066,1,2,1,2,0,9
3,13,001,1,3206471,1,3,1,1,95,1
3,13,001,1,3206898,2,1,1,2,0,2
3,13,001,1,3206898,2,1,2,1,0,9
3,13,001,1,3206898,2,1,3,2,0,9
3,13,001,1,3206898,2,1,4,2,0,9
3,13,001,1,3206898,2,1,5,2,0,9
3,13,001,1,3206898,2,1,6,2,0,9
3,13,001,1,3206898,2,1,7,2,0,9
3,13,001,1,3206898,2,1,8,2,0,9
3,13,001,1,3290373,1,1,1,1,49,1
3,13,001,1,3290386,1,1,1,1,65,1
3,13,001,1,3290401,1,1,1,1,77,1
3,13,001,1,3312915,1,1,1,1,78,9
3,13,001,1,3313272,1,1,1,2,25,1
3,13,001,1,3314811,1,1,1,2,86,9
3,13,001,1,3314836,2,1,1,2,105,1
3,13,001,1,3315155,1,1,1,2,86,1
3,13,001,1,3315503,1,1,1,2,44,1
3,13,001,1,3315525,5,1,1,2,80,1
3,13,001,1,3315542,1,1,1,2,80,1
3,13,001,1,3315542,1,1,2,2,81,2
3,13,001,1,3315542,1,1,3,2,80,1
3,13,001,1,3351954,1,1,1,2,95,1
3,13,001,1,3353379,1,1,1,2,56,1
3,13,001,1,3488964,2,1,1,1,92,1
3,13,001,1,3489116,36,1,1,1,81,1
3,13,001,1,3494048,5,1,1,1,73,9
3,13,001,1,3497837,1,1,1,1,23,9
3,13,001,1,3510615,1,1,1,1,0,9
3,13,001,1,3645240,2,1,1,1,88,1
3,13,001,1,3645856,1,1,1,2,88,1
3,13,001,1,3646248,1,1,1,1,15,2
3,13,001,1,3646248,1,2,1,1,15,2
3,13,001,1,3646464,1,1,1,2,96,2
3,13,001,1,3646464,1,1,2,2,96,2
3,13,001,1,3650478,1,1,1,2,56,1
3,13,001,1,3650829,1,1,1,2,81,2
3,13,001,1,3652956,1,1,1,1,92,1
3,13,001,1,3654202,3,1,1,1,83,1
3,13,001,1,3654205,2,1,1,1,83,1
3,13,001,1,3654208,1,1,1,1,83,1
3,13,001,1,3658259,2,1,1,1,52,1
3,13,001,1,3659026,1,1,1,2,96,1
3,13,001,1,3659029,3,1,1,2,86,1
3,13,001,1,3659437,1,2,1,1,40,9
3,13,001,1,3666622,1,1,1,2,75,2
3,13,001,1,3673955,1,1,1,1,78,1
3,13,001,1,3674156,1,2,1,1,74,1
3,13,001,1,3674190,1,1,1,1,0,9
3,13,001,1,3688003,3,1,1,1,73,9
3,13,001,1,3693203,1,1,1,1,50,2
3,13,001,1,3693240,1,1,1,1,30,2
3,13,001,1,3694658,1,1,1,2,81,1
3,13,001,1,3695963,1,1,1,1,87,1
3,13,001,1,3705282,1,1,1,1,61,1
3,13,001,1,3707762,1,1,1,2,20,1
3,13,001,1,3708606,2,1,1,2,52,1
3,13,001,1,3708709,1,1,1,1,71,1
3,13,001,1,3708760,2,1,1,2,58,9
3,13,001,1,3709202,1,1,1,1,103,1
3,13,001,1,3710909,1,1,1,1,35,1
3,13,001,1,3711517,2,1,1,2,81,1
3,13,001,1,3712198,1,1,1,1,83,1
3,13,001,1,3712337,1,1,1,1,89,1
3,13,001,1,3712442,3,1,1,1,67,1
3,13,001,1,3756834,1,1,1,1,64,1
3,13,001,1,3759996,1,1,1,2,82,1
3,13,001,1,3760112,3,1,1,2,72,1
